author	epoche	genre	title	textPath	n_tok	n_sent
Dorn, Thea	Gegenwart	Roman	Die Ungluckseligen	gegenwart/Dorn_Die_Ungluckseligen.txt	185375	13400
Genazino, Wilhelm	Gegenwart	Roman	Ein Regenschirm für diesen Tag	gegenwart/Genazino_Ein_Regenschirm_fuer_diesen_Tag.txt	48339	3176
Herrndorf, Wolfgang	Gegenwart	Roman	Diesseits des Van-Allen-Gurtels	gegenwart/Herrndorf_Diesseits_des_Van-Allen-Gurtels.txt	50677	4015
Herrndorf, Wolfgang	Gegenwart	Roman	Tschick	gegenwart/Herrndorf_Tschick.txt	71003	5299
Hilbig, Wolfgang	Gegenwart	Erzählung	Alte Abdeckerei	gegenwart/Hilbig_Alte_Abdeckerei.txt	24601	677
Hilbig, Wolfgang	Gegenwart	Erzählung	Die Kunde von den Bäumen	gegenwart/Hilbig_Die_Kunde_von_den_Baeumen.txt	22124	1008
Hoppe, Felicitas	Gegenwart	Roman	Paradiese, Übersee	gegenwart/Hoppe_Paradiese_Uebersee.txt	52867	1571
Krausser, Helmut	Gegenwart	Roman	UC	gegenwart/Krausser_UC.txt	137674	9874
Modick, Klaus	Gegenwart	Roman	Fahrtwind	gegenwart/Modick_Fahrtwind.txt	43291	2720
Zschokke, Matthias	Gegenwart	Roman	Der Mann mit den zwei Augen	gegenwart/Zschokke_Der_Mann_mit_den_zwei_Augen.txt	76637	3976
Strauss, Simon	Gegenwart	Roman	Römische Tage	gegenwart/Strauss_Romische_Tage.txt	29974	1735
